2025-06-23 12:20:55,118 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:28:12,141 - INFO - Inference time: 0.354388 ms, MSE: 0.270916
2025-06-23 12:28:12,505 - INFO - Inference time: 0.353348 ms, MSE: 0.263177
2025-06-23 12:28:12,862 - INFO - Inference time: 0.352580 ms, MSE: 0.284332
2025-06-23 12:28:13,222 - INFO - Inference time: 0.354786 ms, MSE: 0.279029
2025-06-23 12:28:13,594 - INFO - Inference time: 0.362931 ms, MSE: 0.280735
2025-06-23 12:28:13,952 - INFO - Inference time: 0.354764 ms, MSE: 0.271904
2025-06-23 12:28:14,317 - INFO - Inference time: 0.354489 ms, MSE: 0.272438
2025-06-23 12:28:14,689 - INFO - Inference time: 0.366916 ms, MSE: 0.275820
2025-06-23 12:28:15,055 - INFO - Inference time: 0.356130 ms, MSE: 0.285499
2025-06-23 12:28:15,415 - INFO - Inference time: 0.349427 ms, MSE: 0.267029
2025-06-23 12:28:15,774 - INFO - Inference time: 0.354589 ms, MSE: 0.273823
2025-06-23 12:28:16,135 - INFO - Inference time: 0.356247 ms, MSE: 0.275693
2025-06-23 12:28:16,135 - INFO - Average MSE: 0.274216, Average inference time: 0.480347 ms
2025-06-23 12:28:16,136 - INFO - Folder Mode: 17553.178107 ms
2025-06-23 12:28:49,897 - WARNING - TRT engine path '' is invalid. Falling back to plain model.
2025-06-23 12:28:49,898 - WARNING - TensorRT unavailable, falling back to plain model: 
2025-06-23 12:28:57,377 - INFO - Inference time: 4.808936 ms, MSE: 0.221691
2025-06-23 12:28:57,779 - INFO - Inference time: 0.399272 ms, MSE: 0.223821
2025-06-23 12:28:58,131 - INFO - Inference time: 0.349804 ms, MSE: 0.222223
2025-06-23 12:28:58,488 - INFO - Inference time: 0.352839 ms, MSE: 0.222682
2025-06-23 12:28:58,853 - INFO - Inference time: 0.358548 ms, MSE: 0.223912
2025-06-23 12:28:59,214 - INFO - Inference time: 0.351133 ms, MSE: 0.221936
2025-06-23 12:28:59,570 - INFO - Inference time: 0.350964 ms, MSE: 0.221529
2025-06-23 12:28:59,926 - INFO - Inference time: 0.351279 ms, MSE: 0.220033
2025-06-23 12:29:00,296 - INFO - Inference time: 0.364506 ms, MSE: 0.221965
2025-06-23 12:29:00,651 - INFO - Inference time: 0.350549 ms, MSE: 0.223619
2025-06-23 12:29:01,011 - INFO - Inference time: 0.349392 ms, MSE: 0.225428
2025-06-23 12:29:01,365 - INFO - Inference time: 0.349775 ms, MSE: 0.236863
2025-06-23 12:29:01,721 - INFO - Inference time: 0.350688 ms, MSE: 0.228852
2025-06-23 12:29:02,093 - INFO - Inference time: 0.361589 ms, MSE: 0.226346
2025-06-23 12:29:02,453 - INFO - Inference time: 0.355355 ms, MSE: 0.222782
2025-06-23 12:29:02,809 - INFO - Inference time: 0.351979 ms, MSE: 0.223198
2025-06-23 12:29:03,169 - INFO - Inference time: 0.355174 ms, MSE: 0.221357
2025-06-23 12:29:03,536 - INFO - Inference time: 0.356629 ms, MSE: 0.221340
2025-06-23 12:29:03,904 - INFO - Inference time: 0.357597 ms, MSE: 0.222116
2025-06-23 12:29:04,263 - INFO - Inference time: 0.354410 ms, MSE: 0.222071
2025-06-23 12:29:04,622 - INFO - Inference time: 0.353804 ms, MSE: 0.221283
2025-06-23 12:29:04,988 - INFO - Inference time: 0.360301 ms, MSE: 0.223452
2025-06-23 12:29:05,365 - INFO - Inference time: 0.371986 ms, MSE: 0.222053
2025-06-23 12:29:05,737 - INFO - Inference time: 0.362005 ms, MSE: 0.221085
2025-06-23 12:29:06,097 - INFO - Inference time: 0.354712 ms, MSE: 0.221362
2025-06-23 12:29:06,456 - INFO - Inference time: 0.349098 ms, MSE: 0.221537
2025-06-23 12:29:06,812 - INFO - Inference time: 0.349874 ms, MSE: 0.221727
2025-06-23 12:29:07,173 - INFO - Inference time: 0.349494 ms, MSE: 0.221539
2025-06-23 12:29:07,528 - INFO - Inference time: 0.349975 ms, MSE: 0.221898
